id	isv	addition	partOfSpeech
4886	ahoj		intj.
24136	aj		intj.
37233	ajir		m.
24137	ajsberg		m.
24138	akacija		f.
37532	akacijevy		adj.
16262	akademičsky		adj.
4639	akademija		f.
24141	akademik		m.anim.
34994	akańje		n.sg.
6130	akcent		m.
24148	akcentovati		v.tr. ipf.
24149	akcentuacija		f.sg.
4951	akceptacija		f.sg.
111	akceptovati		v.tr. ipf.
115	akcija		f.
2849	akcija		f.
24152	akcioner		m.anim.
24153	akcionerny kapital		m.sg.
24154	akciz		m.
24155	aklimatizacija		f.sg.
24156	aklimatizovati		v.intr. ipf.
6387	akne		n.sg.
17112	ako by		conj.
17113	ako by		conj.
17114	ako by		conj.
6133	ako li		conj.
23672	ako ne		conj.
17076	ako		conj.
17110	ako		prep.
32593	akolada		f.
36472	akolada		f.
24161	akomodacija		f.
24163	akompanement		m.sg.
24164	akompaniator		m.anim.
24165	akompanovati		v.tr. ipf.
24167	akord		m.
24168	akordeon		m.
24169	akr		m.
37590	akril		m.
37591	akrilovy		adj.
24173	akrobat		m.anim.
34769	akrobatika		f.sg.
24174	akrobatka		f.
24175	akrobatsky		adj.
33563	aksamit		m.sg.
33564	aksamitny		adj.
32543	aksiaľny		adj.
24180	aksioma		f.
37533	aksiomatičny		adj.
37534	aksiomatika		f.
37794	aksiomatizacija		f.
119	akt		m.
37847	aktivacija		f.
2307	aktivist		m.anim.
24189	aktivistka		f.
35786	aktivitet		m.
37535	aktivizacija		f.
16921	aktivno		adv.
5142	aktivnosť		f.
43	aktivny		adj.
24190	aktivovati		v.tr. ipf.
6134	aktor		m.anim.
24194	aktorka		f.
36683	aktoŕsky		adj.
24197	aktrisa		f.
34899	aktualizacija		f.
34900	aktualizovati		v.tr. ipf./pf.
17117	aktuaľnosť		f.
5125	aktuaľny		adj.
20330	akula		f.
24201	akumulacija		f.
24202	akumulator		m.
24203	akumulovati		v.tr. ipf.
37795	akupunktura		f.
24204	akurat		adv.
24205	akuratnosť		f.
24206	akuratny		adj.
24207	akustičny		adj.
24208	akustika		f.
24210	akušerka		f.
24211	akušeŕsky		adj.
24212	akušeŕstvo		n.sg.
24213	akut		m.
16922	akuzativ		m.
24216	akvamarin		m.
24217	akvarelist		m.anim.
24218	akvarelj		m.
24219	akvarium		m.
24220	akvedukt		m.
24223	alabastr		m.
24224	alarm		m.
133	Albanėc		m.anim.
4732	Albanija		f.sg.
6388	Albanka		f.
142	albańsky		adj.
23563	albatros		m.anim.
24248	album		m.
37536	albumin		m.
134	ale		conj.
24229	alegoričny		adj.
5856	alegorija		f.
24231	aleja		f.
37278	aleluja		intj.
36743	alergičny		adj.
36742	alergija		f.
45	alfabet		m.
3968	alfabetičny		adj.
32939	alga		f.
23490	algebra		f.sg.
23492	algoritm		m.
24238	alhimija		f.sg.
24239	alhimik		m.anim.
107	alians		m.
37848	alias		m.
24240	alibi		n.indecl.
24241	aligator		m.anim.
24244	alimenty		m.pl.
24245	aliteracija		f.
24267	#aljur		m.sg.
